,blockorder,blockname,blocknumber,task,trialcount,tablerow,key,status,RT,target_button,batch,timeout,ITI,rate,rate_RT,rate_status,participant,correct,real,experience
172,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,173,229,1,1,1572,1,real,0,508,6,0,0,2,1,1,3
173,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,174,188,1,1,1861,1,real,0,600,6,0,0,2,1,1,3
174,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,175,147,2,1,3357,2,60000,0,462,6,0,0,2,1,0,3
175,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,176,180,1,1,1335,1,real,0,484,6,0,0,2,1,1,3
176,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,177,236,1,1,1168,1,real,0,440,6,0,0,2,1,1,3
177,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,178,34,2,1,784,2,1055,0,496,6,0,0,2,1,0,3
178,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,179,178,1,1,2903,1,real,0,436,6,0,0,2,1,1,3
179,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,180,140,1,2,1257,2,60000,0,465,6,0,0,2,0,1,3
180,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,181,152,1,2,1657,2,60000,0,527,6,0,0,2,0,1,3
181,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,182,9,2,1,594,2,344,0,539,6,0,0,2,1,0,3
